freq,attenuation_db
0.000000000000000000e+00,1.545854413821104778e+01
1.000000000000000000e+07,1.544024456410194901e+01
2.000000000000000000e+07,1.542190635473962068e+01
3.000000000000000000e+07,1.540352934664032603e+01
4.000000000000000000e+07,1.538511337528044720e+01
5.000000000000000000e+07,1.536665827508767634e+01
6.000000000000000000e+07,1.534816387943206450e+01
7.000000000000000000e+07,1.532963002061700664e+01
8.000000000000000000e+07,1.531105652987010757e+01
9.000000000000000000e+07,1.529244323733397515e+01
1.000000000000000000e+08,1.527378997205687838e+01
1.100000000000000000e+08,1.525509656198335762e+01
1.200000000000000000e+08,1.523636283394466062e+01
1.300000000000000000e+08,1.521758861364916449e+01
1.400000000000000000e+08,1.519877372567260743e+01
1.500000000000000000e+08,1.517991799344827264e+01
1.600000000000000000e+08,1.516102123925704426e+01
1.700000000000000000e+08,1.514208328421735672e+01
1.800000000000000000e+08,1.512310394827502691e+01
1.900000000000000000e+08,1.510408305019299569e+01
2.000000000000000000e+08,1.508502040754093265e+01
2.100000000000000000e+08,1.506591583668474676e+01
2.200000000000000000e+08,1.504676915277596017e+01
2.300000000000000000e+08,1.502758016974099498e+01
2.400000000000000000e+08,1.500834870027030021e+01
2.500000000000000000e+08,1.498907455580740411e+01
2.600000000000000000e+08,1.496975754653780655e+01
2.700000000000000000e+08,1.495039748137776847e+01
2.800000000000000000e+08,1.493099416796296808e+01
2.900000000000000000e+08,1.491154741263703620e+01
3.000000000000000000e+08,1.489205702043995494e+01
3.100000000000000000e+08,1.487252279509633368e+01
3.200000000000000000e+08,1.485294453900355194e+01
3.300000000000000000e+08,1.483332205321975650e+01
3.400000000000000000e+08,1.481365513745173956e+01
3.500000000000000000e+08,1.479394359004266946e+01
3.600000000000000000e+08,1.477418720795968454e+01
3.700000000000000000e+08,1.475438578678134860e+01
3.800000000000000000e+08,1.473453912068494986e+01
3.900000000000000000e+08,1.471464700243368107e+01
4.000000000000000000e+08,1.469470922336363294e+01
4.100000000000000000e+08,1.467472557337068828e+01
4.200000000000000000e+08,1.465469584089720456e+01
4.300000000000000000e+08,1.463461981291861136e+01
4.400000000000000000e+08,1.461449727492978568e+01
4.500000000000000000e+08,1.459432801093132426e+01
4.600000000000000000e+08,1.457411180341560630e+01
4.700000000000000000e+08,1.455384843335274780e+01
4.800000000000000000e+08,1.453353768017634273e+01
4.900000000000000000e+08,1.451317932176906922e+01
5.000000000000000000e+08,1.449277313444810211e+01
5.100000000000000000e+08,1.447231889295037988e+01
5.200000000000000000e+08,1.445181637041767786e+01
5.300000000000000000e+08,1.443126533838151104e+01
5.400000000000000000e+08,1.441066556674785915e+01
5.500000000000000000e+08,1.439001682378171765e+01
5.600000000000000000e+08,1.436931887609143210e+01
5.700000000000000000e+08,1.434857148861290455e+01
5.800000000000000000e+08,1.432777442459354234e+01
5.900000000000000000e+08,1.430692744557607199e+01
6.000000000000000000e+08,1.428603031138211854e+01
6.100000000000000000e+08,1.426508278009561437e+01
6.200000000000000000e+08,1.424408460804598775e+01
6.300000000000000000e+08,1.422303554979115958e+01
6.400000000000000000e+08,1.420193535810031982e+01
6.500000000000000000e+08,1.418078378393652272e+01
6.600000000000000000e+08,1.415958057643904411e+01
6.700000000000000000e+08,1.413832548290550761e+01
6.800000000000000000e+08,1.411701824877384759e+01
6.900000000000000000e+08,1.409565861760399486e+01
7.000000000000000000e+08,1.407424633105937062e+01
7.100000000000000000e+08,1.405278112888812281e+01
7.200000000000000000e+08,1.403126274890416347e+01
7.300000000000000000e+08,1.400969092696794327e+01
7.400000000000000000e+08,1.398806539696700391e+01
7.500000000000000000e+08,1.396638589079627302e+01
7.600000000000000000e+08,1.394465213833812989e+01
7.700000000000000000e+08,1.392286386744219939e+01
7.800000000000000000e+08,1.390102080390492389e+01
7.900000000000000000e+08,1.387912267144883316e+01
8.000000000000000000e+08,1.385716919170159755e+01
8.100000000000000000e+08,1.383516008417478460e+01
8.200000000000000000e+08,1.381309506624236150e+01
8.300000000000000000e+08,1.379097385311891522e+01
8.400000000000000000e+08,1.376879615783760258e+01
8.500000000000000000e+08,1.374656169122780547e+01
8.600000000000000000e+08,1.372427016189252491e+01
8.700000000000000000e+08,1.370192127618544298e+01
8.800000000000000000e+08,1.367951473818773067e+01
8.900000000000000000e+08,1.365705024968453429e+01
9.000000000000000000e+08,1.363452751014116160e+01
9.100000000000000000e+08,1.361194621667894822e+01
9.200000000000000000e+08,1.358930606405082742e+01
9.300000000000000000e+08,1.356660674461658189e+01
9.400000000000000000e+08,1.354384794831774030e+01
9.500000000000000000e+08,1.352102936265217181e+01
9.600000000000000000e+08,1.349815067264835378e+01
9.700000000000000000e+08,1.347521156083926996e+01
9.800000000000000000e+08,1.345221170723598370e+01
9.900000000000000000e+08,1.342915078930085571e+01
1.000000000000000000e+09,1.340602848192040142e+01
1.010000000000000000e+09,1.338284445737780004e+01
1.020000000000000000e+09,1.335959838532501109e+01
1.030000000000000000e+09,1.333628993275453567e+01
1.040000000000000000e+09,1.331291876397079932e+01
1.050000000000000000e+09,1.328948454056114059e+01
1.060000000000000000e+09,1.326598692136640345e+01
1.070000000000000000e+09,1.324242556245113711e+01
1.080000000000000000e+09,1.321880011707339619e+01
1.090000000000000000e+09,1.319511023565412344e+01
1.100000000000000000e+09,1.317135556574610611e+01
1.110000000000000000e+09,1.314753575200251312e+01
1.120000000000000000e+09,1.312365043614500948e+01
1.130000000000000000e+09,1.309969925693141946e+01
1.140000000000000000e+09,1.307568185012293682e+01
1.150000000000000000e+09,1.305159784845089987e+01
1.160000000000000000e+09,1.302744688158308151e+01
1.170000000000000000e+09,1.300322857608953875e+01
1.180000000000000000e+09,1.297894255540795072e+01
1.190000000000000000e+09,1.295458843980848762e+01
1.200000000000000000e+09,1.293016584635820365e+01
1.210000000000000000e+09,1.290567438888489171e+01
1.220000000000000000e+09,1.288111367794045137e+01
1.230000000000000000e+09,1.285648332076372924e+01
1.240000000000000000e+09,1.283178292124283715e+01
1.250000000000000000e+09,1.280701207987693380e+01
1.260000000000000000e+09,1.278217039373743447e+01
1.270000000000000000e+09,1.275725745642870734e+01
1.280000000000000000e+09,1.273227285804816944e+01
1.290000000000000000e+09,1.270721618514582829e+01
1.300000000000000000e+09,1.268208702068322147e+01
1.310000000000000000e+09,1.265688494399176989e+01
1.320000000000000000e+09,1.263160953073053250e+01
1.330000000000000000e+09,1.260626035284332325e+01
1.340000000000000000e+09,1.258083697851522942e+01
1.350000000000000000e+09,1.255533897212845140e+01
1.360000000000000000e+09,1.252976589421754561e+01
1.370000000000000000e+09,1.250411730142395861e+01
1.380000000000000000e+09,1.247839274644990581e+01
1.390000000000000000e+09,1.245259177801157691e+01
1.400000000000000000e+09,1.242671394079162717e+01
1.410000000000000000e+09,1.240075877539096894e+01
1.420000000000000000e+09,1.237472581827983120e+01
1.430000000000000000e+09,1.234861460174809267e+01
1.440000000000000000e+09,1.232242465385486696e+01
1.450000000000000000e+09,1.229615549837730981e+01
1.460000000000000000e+09,1.226980665475867838e+01
1.470000000000000000e+09,1.224337763805556634e+01
1.480000000000000000e+09,1.221686795888435917e+01
1.490000000000000000e+09,1.219027712336685454e+01
1.500000000000000000e+09,1.216360463307507445e+01
1.510000000000000000e+09,1.213684998497518031e+01
1.520000000000000000e+09,1.211001267137055848e+01
1.530000000000000000e+09,1.208309217984402828e+01
1.540000000000000000e+09,1.205608799319911739e+01
1.550000000000000000e+09,1.202899958940045622e+01
1.560000000000000000e+09,1.200182644151320766e+01
1.570000000000000000e+09,1.197456801764158918e+01
1.580000000000000000e+09,1.194722378086637882e+01
1.590000000000000000e+09,1.191979318918146902e+01
1.600000000000000000e+09,1.189227569542940444e+01
1.610000000000000000e+09,1.186467074723588766e+01
1.620000000000000000e+09,1.183697778694325820e+01
1.630000000000000000e+09,1.180919625154288966e+01
