freq,attenuation_db
0.000000000000000000e+00,8.509639848962153508e+01
1.000000000000000000e+07,8.499571901503556148e+01
2.000000000000000000e+07,8.489482691204547393e+01
3.000000000000000000e+07,8.479372128063586445e+01
4.000000000000000000e+07,8.469240121506479113e+01
5.000000000000000000e+07,8.459086580381512022e+01
6.000000000000000000e+07,8.448911412954535649e+01
7.000000000000000000e+07,8.438714526903984847e+01
8.000000000000000000e+07,8.428495829315855303e+01
9.000000000000000000e+07,8.418255226678623160e+01
1.000000000000000000e+08,8.407992624878113475e+01
1.100000000000000000e+08,8.397707929192308995e+01
1.200000000000000000e+08,8.387401044286104934e+01
1.300000000000000000e+08,8.377071874206001212e+01
1.400000000000000000e+08,8.366720322374750651e+01
1.500000000000000000e+08,8.356346291585934694e+01
1.600000000000000000e+08,8.345949683998493640e+01
1.700000000000000000e+08,8.335530401131181577e+01
1.800000000000000000e+08,8.325088343856972983e+01
1.900000000000000000e+08,8.314623412397406810e+01
2.000000000000000000e+08,8.304135506316856663e+01
2.100000000000000000e+08,8.293624524516764041e+01
2.200000000000000000e+08,8.283090365229770669e+01
2.300000000000000000e+08,8.272532926013823840e+01
2.400000000000000000e+08,8.261952103746186538e+01
2.500000000000000000e+08,8.251347794617400666e+01
2.600000000000000000e+08,8.240719894125174960e+01
2.700000000000000000e+08,8.230068297068203265e+01
2.800000000000000000e+08,8.219392897539921705e+01
2.900000000000000000e+08,8.208693588922180595e+01
3.000000000000000000e+08,8.197970263878868025e+01
3.100000000000000000e+08,8.187222814349438238e+01
3.200000000000000000e+08,8.176451131542386008e+01
3.300000000000000000e+08,8.165655105928631485e+01
3.400000000000000000e+08,8.154834627234843936e+01
3.500000000000000000e+08,8.143989584436683060e+01
3.600000000000000000e+08,8.133119865751955047e+01
3.700000000000000000e+08,8.122225358633714620e+01
3.800000000000000000e+08,8.111305949763260514e+01
3.900000000000000000e+08,8.100361525043066990e+01
4.000000000000000000e+08,8.089391969589631515e+01
4.100000000000000000e+08,8.078397167726237171e+01
4.200000000000000000e+08,8.067377002975639755e+01
4.300000000000000000e+08,8.056331358052653968e+01
4.400000000000000000e+08,8.045260114856667144e+01
